Date,Date.1,PFC.NS.Open,PFC.NS.High,PFC.NS.Low,PFC.NS.Close,PFC.NS.Volume,PFC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,90.550003,92.724998,90.550003,91.599998,2533020.0,58.337597,0.01374013886250669
2013-04-02,2013-04-02,91.074997,94.400002,90.800003,93.849998,4086926.0,59.770554,0.024266357644259
2013-04-03,2013-04-03,94.0,96.0,90.599998,91.349998,5758390.0,58.178371,-0.026999478294596813
2013-04-04,2013-04-04,90.5,93.0,89.199997,92.449997,5555000.0,58.878937,0.011969767226584159
2013-04-05,2013-04-05,92.400002,94.5,91.175003,93.775002,3519772.0,59.722801,0.014230453192256576
2013-04-08,2013-04-08,93.949997,96.875,93.525002,95.824997,4677448.0,61.028378,0.021625095328563937
2013-04-09,2013-04-09,96.5,97.0,93.5,94.25,3186460.0,60.025311,-0.01657264584158824
2013-04-10,2013-04-10,94.550003,95.75,91.900002,95.324997,3271444.0,60.70994200000001,0.011341150511925413
2013-04-11,2013-04-11,95.824997,96.199997,92.5,94.650002,3066548.0,60.28005600000001,-0.007106171024458874
2013-04-12,2013-04-12,95.0,95.800003,93.349998,95.150002,2230026.0,60.59849499999999,0.005268755027504568
2013-04-15,2013-04-15,94.875,97.625,94.0,97.275002,3280632.0,61.951851,0.02208742878003278
2013-04-16,2013-04-16,97.0,100.5,96.699997,100.150002,2950480.0,63.78286,0.029127015656293945
2013-04-17,2013-04-17,100.699997,101.0,96.0,96.400002,3637290.0,61.394592,-0.03816274912161255
2013-04-18,2013-04-18,96.400002,98.650002,94.5,98.074997,4650116.0,62.461349,0.01722619634621836
2013-04-22,2013-04-22,98.324997,99.0,95.5,97.474998,2154604.0,62.079227,-0.006136525322126829
2013-04-23,2013-04-23,97.974998,100.099998,96.849998,99.550003,3021102.0,63.400734,0.02106401454104745
2013-04-25,2013-04-25,98.699997,100.800003,97.599998,99.324997,3170520.0,63.257446,-0.0022625946642884642
2013-04-26,2013-04-26,99.150002,100.474998,96.125,96.474998,2016958.0,61.442345,-0.0291135885701701
2013-04-29,2013-04-29,97.125,98.900002,96.050003,98.599998,1372412.0,62.795715,0.021787583233363602
2013-04-30,2013-04-30,99.074997,99.474998,95.75,97.425003,2074164.0,62.04739,-0.01198839074872371
2013-05-02,2013-05-02,97.449997,99.675003,96.050003,99.150002,5343882.0,63.14599200000001,0.017550930935422926
2013-05-03,2013-05-03,99.0,99.125,94.625,95.224998,2647082.0,60.646267,-0.04039129522938634
2013-05-06,2013-05-06,95.5,96.25,93.550003,95.974998,3673640.0,61.12391700000001,0.007845146227214883
2013-05-07,2013-05-07,96.0,99.474998,96.0,99.099998,4828546.0,63.11414,0.03204160334439088
2013-05-08,2013-05-08,99.5,100.25,98.25,99.050003,3125802.0,63.082294,-0.0005047052387556762
2013-05-09,2013-05-09,99.074997,101.349998,97.949997,98.875,3607164.0,62.97084399999999,-0.001768302333592153
2013-05-10,2013-05-10,98.775002,99.875,97.849998,98.824997,2336090.0,62.938999,-0.0005058381445053328
2013-05-13,2013-05-13,99.324997,99.324997,95.125,95.824997,2444080.0,61.028378,-0.030827018364206538
2013-05-14,2013-05-14,95.875,97.224998,95.550003,96.074997,2218994.0,61.187599,0.0026055691569544237
2013-05-15,2013-05-15,96.5,99.5,96.449997,98.974998,5448506.0,63.034527,0.029738085620382826
2013-05-16,2013-05-16,98.199997,102.875,98.099998,101.925003,8750304.0,64.91330699999999,0.02937001732598965
2013-05-17,2013-05-17,102.5,103.449997,101.449997,102.349998,5593680.0,65.183983,0.00416113803084439
2013-05-20,2013-05-20,103.025002,104.650002,101.775002,102.275002,4570754.0,65.136215,-0.0007330867029420317
2013-05-21,2013-05-21,102.0,103.0,99.925003,100.349998,3969526.0,63.91024,-0.019001093605219843
2013-05-22,2013-05-22,100.75,101.025002,97.900002,98.800003,2171808.0,62.92308000000001,-0.015566570895038543
2013-05-23,2013-05-23,98.0,98.300003,93.025002,94.824997,2869222.0,60.391499,-0.04106467803882019
2013-05-24,2013-05-24,95.25,97.199997,94.125,96.550003,2311640.0,61.490116,0.018028096447062048
2013-05-27,2013-05-27,96.099998,98.0,96.025002,97.625,1200654.0,62.174763,0.01107273141152465
2013-05-28,2013-05-28,97.849998,98.949997,96.574997,97.099998,2122666.0,61.840401,-0.0053922891265214545
2013-05-29,2013-05-29,97.5,98.25,96.275002,97.699997,2837670.0,62.222511,0.006159958719424097
2013-05-30,2013-05-30,97.5,98.699997,94.849998,95.625,7853454.0,60.90100500000001,-0.02146717041089285
2013-05-31,2013-05-31,96.199997,96.199997,90.550003,91.525002,6921780.0,58.289833,-0.04382198997480469
2013-06-03,2013-06-03,92.0,92.5,90.099998,90.75,4669418.0,57.796257,-0.008503671271947509
2013-06-04,2013-06-04,91.0,92.675003,88.650002,89.550003,5483022.0,57.032009,-0.013311344174530504
2013-06-05,2013-06-05,90.0,90.0,86.5,86.875,7519474.0,55.328369,-0.030326892825293324
2013-06-06,2013-06-06,86.025002,88.150002,85.25,87.875,5753868.0,55.96524399999999,0.011445076403336252
2013-06-07,2013-06-07,86.775002,90.5,86.775002,89.550003,9060274.0,57.032009,0.01888181642195708
2013-06-10,2013-06-10,90.0,91.449997,88.125,89.175003,5714266.0,56.793179,-0.004196441133665907
2013-06-11,2013-06-11,88.5,89.525002,85.625,86.099998,7895562.0,54.83479300000001,-0.0350913292439925
2013-06-12,2013-06-12,85.599998,86.0,83.025002,83.949997,8082674.0,53.465515,-0.025288034611731902
2013-06-13,2013-06-13,83.0,83.400002,79.5,79.875,7156116.0,50.870255,-0.04975849503229002
2013-06-14,2013-06-14,80.75,83.349998,80.75,82.724998,5078600.0,52.685341,0.035058885861249944
2013-06-17,2013-06-17,83.099998,83.199997,80.574997,82.275002,3527178.0,52.398762,-0.005454292367327529
2013-06-18,2013-06-18,81.625,84.199997,81.25,82.5,4001644.0,52.542042,0.002730684034633945
2013-06-19,2013-06-19,82.400002,83.349998,82.0,82.525002,3191980.0,52.557976,0.0003032159351690211
2013-06-20,2013-06-20,81.0,81.349998,76.525002,77.300003,5841656.0,49.23030900000001,-0.06540739465251955
2013-06-21,2013-06-21,77.099998,78.199997,71.099998,72.800003,14561768.0,46.36438,-0.0599779784039236
2013-06-24,2013-06-24,72.5,72.5,67.574997,68.925003,12493388.0,43.896492,-0.05469708400264661
2013-06-25,2013-06-25,69.5,69.949997,65.599998,68.824997,14730712.0,43.832802,-0.0014519668011758744
2013-06-26,2013-06-26,69.824997,70.875,68.074997,68.875,8717902.0,43.864655,0.0007264293057147597
2013-06-27,2013-06-27,70.0,70.974998,68.099998,69.349998,7313958.0,44.16716,0.006872655998153565
2013-06-28,2013-06-28,70.074997,72.324997,70.0,72.050003,9088258.0,45.886719,0.0381942022854167
2013-07-01,2013-07-01,72.5,73.849998,71.150002,73.525002,7182426.0,46.826115,0.020265331320330482
2013-07-02,2013-07-02,74.150002,76.099998,73.75,74.849998,9380266.0,47.669971,0.017860600754629363
2013-07-03,2013-07-03,73.5,74.0,67.900002,68.400002,10170378.0,43.562134,-0.0901133741036988
2013-07-04,2013-07-04,68.400002,69.150002,62.5,68.400002,26800944.0,43.562134,0.0
2013-07-05,2013-07-05,69.425003,70.974998,68.675003,68.974998,9264988.0,43.928326,0.008371064419998131
2013-07-08,2013-07-08,68.0,69.800003,66.599998,68.824997,6811878.0,43.832802,-0.002176909980544206
2013-07-09,2013-07-09,69.275002,70.5,67.775002,69.300003,7605124.0,44.135319,0.006877905066560608
2013-07-10,2013-07-10,69.949997,71.25,69.074997,69.875,7912512.0,44.501522,0.008263044564703392
2013-07-11,2013-07-11,71.300003,73.574997,71.300003,73.300003,9430972.0,46.682812,0.04785265470094968
2013-07-12,2013-07-12,73.699997,75.150002,73.0,74.900002,5991326.0,47.701813,0.02159336002228773
2013-07-15,2013-07-15,74.5,74.699997,72.5,73.625,5284906.0,46.889797,-0.01716930174691234
2013-07-16,2013-07-16,71.0,71.0,67.775002,68.150002,10326364.0,43.402916,-0.07727347602145151
2013-07-17,2013-07-17,68.324997,70.675003,64.050003,65.425003,10016800.0,41.667435,-0.04080673932519874
2013-07-18,2013-07-18,65.625,66.449997,63.400002,64.824997,13392742.0,41.285313,-0.009213069177477884
2013-07-19,2013-07-19,65.5,67.224998,65.0,66.574997,8007328.0,42.399841,0.02663779294418189
2013-07-22,2013-07-22,66.5,68.199997,65.5,66.800003,6428056.0,42.543144,0.0033741017213717588
2013-07-23,2013-07-23,67.050003,68.425003,65.599998,68.150002,6417000.0,43.402916,0.02000791383712297
2013-07-24,2013-07-24,67.5,67.5,64.25,64.974998,4085468.0,41.380844,-0.04770855935325269
2013-07-25,2013-07-25,64.300003,64.849998,61.25,61.950001,10994752.0,39.454304,-0.04767492696848264
2013-07-26,2013-07-26,62.0,62.950001,59.674999,60.674999,7816402.0,38.642288,-0.02079592062584057
2013-07-29,2013-07-29,59.5,60.450001,58.075001,59.924999,5693766.0,38.164627,-0.012438128991673292
2013-07-30,2013-07-30,60.0,60.150002,57.875,58.025002,3710090.0,36.954575,-0.03221963615295609
